GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL,Acquisition Date
S2A_OPER_MSI_L1C_TL_MPS__20160919T233908_A006504_T60LYH_N02.04,S2A_OPER_PRD_MSIL1C_PDMC_20160920T004953_R072_V20160919T223002_20160919T223004,GS2A_20160919T223002_006504_N02.04,60LYH,2016-09-19T22:30:04.461000Z,32412483.0,0.40399999999999997,PASSED,1970-01-01T00:00:00.000000Z,-15.3674885697,-15.973943148599998,178.862818087,179.00437526099998,gs://gcp-public-data-sentinel-2/tiles/60/L/YH/S2A_MSIL1C_20160919T223002_N0204_R072_T60LYH_20160920T004953.SAFE,2016-09-19 22:30:04.461000+00:00
L1C_T01KAU_A001456_20151002T222058,S2A_MSIL1C_20151002T222056_N0204_R029_T01KAU_20151002T222058,GS2A_20151002T222056_001456_N02.04,01KAU,2015-10-02T22:20:58.000000Z,5402142.0,0.0,PASSED,2015-10-02T22:20:58.000000Z,-18.9696984385,-19.0051213939,-179.90101775,-179.75641687400002,gs://gcp-public-data-sentinel-2/tiles/01/K/AU/S2A_MSIL1C_20151002T222056_N0204_R029_T01KAU_20151002T222058.SAFE,2015-10-02 22:20:58+00:00
L1C_T01KBU_A001456_20151002T222058,S2A_MSIL1C_20151002T222056_N0204_R029_T01KBU_20151002T222058,GS2A_20151002T222056_001456_N02.04,01KBU,2015-10-02T22:20:58.000000Z,32715446.0,47.7574,PASSED,2015-10-02T22:20:58.000000Z,-18.9705030826,-19.111733358,-179.84941523,-179.30486124700002,gs://gcp-public-data-sentinel-2/tiles/01/K/BU/S2A_MSIL1C_20151002T222056_N0204_R029_T01KBU_20151002T222058.SAFE,2015-10-02 22:20:58+00:00
L1C_T01KAU_A001742_20151022T222100,S2A_MSIL1C_20151022T222102_N0204_R029_T01KAU_20151022T222100,GS2A_20151022T222102_001742_N02.04,01KAU,2015-10-22T22:21:00.000000Z,7480916.0,0.0,PASSED,2015-10-22T22:21:00.000000Z,-18.9687248049,-19.0192057121,-179.96249336900001,-179.75641687400002,gs://gcp-public-data-sentinel-2/tiles/01/K/AU/S2A_MSIL1C_20151022T222102_N0204_R029_T01KAU_20151022T222100.SAFE,2015-10-22 22:21:00+00:00
L1C_T01KBU_A001742_20151022T222100,S2A_MSIL1C_20151022T222102_N0204_R029_T01KBU_20151022T222100,GS2A_20151022T222102_001742_N02.04,01KBU,2015-10-22T22:21:00.000000Z,40044913.0,41.4431,PASSED,2015-10-22T22:21:00.000000Z,-18.9705030826,-19.1207098731,-179.849649296,-179.320618295,gs://gcp-public-data-sentinel-2/tiles/01/K/BU/S2A_MSIL1C_20151022T222102_N0204_R029_T01KBU_20151022T222100.SAFE,2015-10-22 22:21:00+00:00
L1C_T60KWD_A002071_20151114T223000,S2A_MSIL1C_20151114T223002_N0204_R072_T60KWD_20151114T223000,GS2A_20151114T223002_002071_N02.04,60KWD,2015-11-14T22:30:00.000000Z,748704490.0,86.8287,PASSED,2015-11-14T22:30:00.000000Z,-18.9894942657,-19.9847157493,176.99971306900002,178.046584285,gs://gcp-public-data-sentinel-2/tiles/60/K/WD/S2A_MSIL1C_20151114T223002_N0204_R072_T60KWD_20151114T223000.SAFE,2015-11-14 22:30:00+00:00
L1C_T60KWE_A002071_20151114T223000,S2A_MSIL1C_20151114T223002_N0204_R072_T60KWE_20151114T223000,GS2A_20151114T223002_002071_N02.04,60KWE,2015-11-14T22:30:00.000000Z,679785178.0,96.1241,PASSED,2015-11-14T22:30:00.000000Z,-18.0856501588,-19.0808192152,176.999714672,178.04338673400002,gs://gcp-public-data-sentinel-2/tiles/60/K/WE/S2A_MSIL1C_20151114T223002_N0204_R072_T60KWE_20151114T223000.SAFE,2015-11-14 22:30:00+00:00
L1C_T60KWF_A002071_20151114T223000,S2A_MSIL1C_20151114T223002_N0204_R072_T60KWF_20151114T223000,GS2A_20151114T223002_002071_N02.04,60KWF,2015-11-14T22:30:00.000000Z,681865185.0,93.3007,PASSED,2015-11-14T22:30:00.000000Z,-17.1817199435,-18.1768340754,176.999716198,178.03788647099998,gs://gcp-public-data-sentinel-2/tiles/60/K/WF/S2A_MSIL1C_20151114T223002_N0204_R072_T60KWF_20151114T223000.SAFE,2015-11-14 22:30:00+00:00
L1C_T60KWG_A002071_20151114T223000,S2A_MSIL1C_20151114T223002_N0204_R072_T60KWG_20151114T223000,GS2A_20151114T223002_002071_N02.04,60KWG,2015-11-14T22:30:00.000000Z,721762746.0,85.4197,PASSED,2015-11-14T22:30:00.000000Z,-16.2782497428,-17.2733063153,176.999717572,178.03270101200002,gs://gcp-public-data-sentinel-2/tiles/60/K/WG/S2A_MSIL1C_20151114T223002_N0204_R072_T60KWG_20151114T223000.SAFE,2015-11-14 22:30:00+00:00
L1C_T60KXD_A002071_20151114T223000,S2A_MSIL1C_20151114T223002_N0204_R072_T60KXD_20151114T223000,GS2A_20151114T223002_002071_N02.04,60KXD,2015-11-14T22:30:00.000000Z,87285502.0,77.1584,PASSED,2015-11-14T22:30:00.000000Z,-18.988660859,-19.9754528731,177.94993362900001,178.18153491400003,gs://gcp-public-data-sentinel-2/tiles/60/K/XD/S2A_MSIL1C_20151114T223002_N0204_R072_T60KXD_20151114T223000.SAFE,2015-11-14 22:30:00+00:00
