GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL
L2A_T58LEN_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LEN_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LEN,2018-12-13T23:19:26.000000Z,716271271,99.999999,,2018-12-14T00:58:52.000000Z,-10.8537530325,-11.848398673599998,164.999724451,166.007753496,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/EN/S2A_MSIL2A_20181213T231841_N0211_R001_T58LEN_20181214T005852.SAFE
L2A_T58LEP_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LEP_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LEP,2018-12-13T23:19:11.000000Z,709873892,99.999998,,2018-12-14T00:58:52.000000Z,-9.9492764363,-10.9438413192,164.999725343,166.00457291,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/EP/S2A_MSIL2A_20181213T231841_N0211_R001_T58LEP_20181214T005852.SAFE
L2A_T58LFN_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LFN_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LFN,2018-12-13T23:19:22.000000Z,700275256,99.999868,,2018-12-14T00:58:52.000000Z,-10.8494090379,-11.8469111249,165.914808482,166.925720082,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/FN/S2A_MSIL2A_20181213T231841_N0211_R001_T58LFN_20181214T005852.SAFE
L2A_T58LFP_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LFP_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LFP,2018-12-13T23:19:08.000000Z,719243728,99.999996,,2018-12-14T00:58:52.000000Z,-9.94530189529,-10.9424701023,165.912178121,166.919645526,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/FP/S2A_MSIL2A_20181213T231841_N0211_R001_T58LFP_20181214T005852.SAFE
L2A_T58LGN_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LGN_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LGN,2018-12-13T23:19:19.000000Z,334869217,99.963813,,2018-12-14T00:58:52.000000Z,-10.8459639369,-11.8424529542,166.82909930600002,167.409126883,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/GN/S2A_MSIL2A_20181213T231841_N0211_R001_T58LGN_20181214T005852.SAFE
L2A_T58LGP_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LGP_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LGP,2018-12-13T23:19:04.000000Z,536083145,99.960563,,2018-12-14T00:58:52.000000Z,-9.94060300572,-10.9383607172,166.823843199,167.608728359,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/GP/S2A_MSIL2A_20181213T231841_N0211_R001_T58LGP_20181214T005852.SAFE
L2A_T58LGQ_A018159_20181213T231844,S2A_MSIL2A_20181213T231841_N0211_R001_T58LGQ_20181214T005852,GS2A_20181213T231841_018159_N02.11,58LGQ,2018-12-13T23:18:53.000000Z,495336798,99.046493,,2018-12-14T00:58:52.000000Z,-9.28839507308,-10.0342126889,166.82032213600002,167.702732253,gs://gcp-public-data-sentinel-2/L2/tiles/58/L/GQ/S2A_MSIL2A_20181213T231841_N0211_R001_T58LGQ_20181214T005852.SAFE
L2A_T56MQS_A009251_20181214T000724,S2B_MSIL2A_20181214T000729_N0211_R073_T56MQS_20181214T014149,GS2B_20181214T000729_009251_N02.11,56MQS,2018-12-14T00:08:42.000000Z,617164028,22.705956,,2018-12-14T01:41:49.000000Z,-7.2297187230999995,-8.2263074216,154.810926327,155.60981195899998,gs://gcp-public-data-sentinel-2/L2/tiles/56/M/QS/S2B_MSIL2A_20181214T000729_N0211_R073_T56MQS_20181214T014149.SAFE
L2A_T56MQT_A009251_20181214T000724,S2B_MSIL2A_20181214T000729_N0211_R073_T56MQT_20181214T014149,GS2B_20181214T000729_009251_N02.11,56MQT,2018-12-14T00:08:27.000000Z,767753091,59.64713100000001,,2018-12-14T01:41:49.000000Z,-6.324863747459999,-7.322017516210001,154.80755173100002,155.799683434,gs://gcp-public-data-sentinel-2/L2/tiles/56/M/QT/S2B_MSIL2A_20181214T000729_N0211_R073_T56MQT_20181214T014149.SAFE
L2A_T56MRT_A009251_20181214T000724,S2B_MSIL2A_20181214T000729_N0211_R073_T56MRT_20181214T014149,GS2B_20181214T000729_009251_N02.11,56MRT,2018-12-14T00:08:19.000000Z,33222922,39.696220000000004,,2018-12-14T01:41:49.000000Z,-6.324817518090001,-6.75580195081,155.71116164,155.80806487200002,gs://gcp-public-data-sentinel-2/L2/tiles/56/M/RT/S2B_MSIL2A_20181214T000729_N0211_R073_T56MRT_20181214T014149.SAFE
