"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1A_IW_GRDH_1SDV_20170624T063939_20170624T064004_017172_01CA36_53C7","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","423","2017-06-24T06:40:04Z","2017-06-25T01:58:55Z","GRD_HD","2017-06-24T06:39:39Z","2017-06-24T06:40:04Z","50.6877","-6.8013","51.215","-4.7284","51.6262","-8.4678","49.7211","-5.2071","50.1305","-8.8301","NA","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063939_20170624T064004_017172_01CA36_53C7.zip","790.72","-1","0","0","-1","S1A_IWDV_0423_0428_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063939_20170624T064004_017172_01CA36_53C7","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","423","2017-06-24T06:40:04Z","2017-06-25T01:58:56Z","METADATA_GRD_HD","2017-06-24T06:39:39Z","2017-06-24T06:40:04Z","50.6877","-6.8013","51.215","-4.7284","51.6262","-8.4678","49.7211","-5.2071","50.1305","-8.8301","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063939_20170624T064004_017172_01CA36_53C7.iso.xml","0.05","-1","0","0","-1","S1A_IWDV_0423_0428_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063914_20170624T063939_017172_01CA36_5FE0","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","418","2017-06-24T06:39:39Z","2017-06-25T02:24:17Z","GRD_HD","2017-06-24T06:39:14Z","2017-06-24T06:39:39Z","52.1829","-6.3729","52.7075","-4.2283","53.1214","-8.0959","51.215","-4.7283","51.6264","-8.4692","NA","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063914_20170624T063939_017172_01CA36_5FE0.zip","869.73","-1","0","0","-1","S1A_IWDV_0418_0423_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063914_20170624T063939_017172_01CA36_5FE0","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","418","2017-06-24T06:39:39Z","2017-06-25T02:24:18Z","METADATA_GRD_HD","2017-06-24T06:39:14Z","2017-06-24T06:39:39Z","52.1829","-6.3729","52.7075","-4.2283","53.1214","-8.0959","51.215","-4.7283","51.6264","-8.4692","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063914_20170624T063939_017172_01CA36_5FE0.iso.xml","0.05","-1","0","0","-1","S1A_IWDV_0418_0423_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063849_20170624T063914_017172_01CA36_6360","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","413","2017-06-24T06:39:14Z","2017-06-25T02:00:48Z","GRD_HD","2017-06-24T06:38:49Z","2017-06-24T06:39:14Z","53.6771","-5.9273","54.1985","-3.7045","54.6159","-7.7118","52.7075","-4.2283","53.1216","-8.0975","NA","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063849_20170624T063914_017172_01CA36_6360.zip","901.21","-1","0","0","-1","S1A_IWDV_0413_0418_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063849_20170624T063914_017172_01CA36_6360","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","413","2017-06-24T06:39:14Z","2017-06-25T02:00:49Z","METADATA_GRD_HD","2017-06-24T06:38:49Z","2017-06-24T06:39:14Z","53.6771","-5.9273","54.1985","-3.7045","54.6159","-7.7118","52.7075","-4.2283","53.1216","-8.0975","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063849_20170624T063914_017172_01CA36_6360.iso.xml","0.05","-1","0","0","-1","S1A_IWDV_0413_0418_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063824_20170624T063849_017172_01CA36_EE5D","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","408","2017-06-24T06:38:49Z","2017-06-25T02:25:06Z","GRD_HD","2017-06-24T06:38:24Z","2017-06-24T06:38:49Z","55.1703","-5.4641","55.6883","-3.1575","56.1098","-7.3173","54.1986","-3.7045","54.6161","-7.7132","NA","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063824_20170624T063849_017172_01CA36_EE5D.zip","908.36","-1","0","0","-1","S1A_IWDV_0408_0413_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063824_20170624T063849_017172_01CA36_EE5D","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","408","2017-06-24T06:38:49Z","2017-06-25T02:25:07Z","METADATA_GRD_HD","2017-06-24T06:38:24Z","2017-06-24T06:38:49Z","55.1703","-5.4641","55.6883","-3.1575","56.1098","-7.3173","54.1986","-3.7045","54.6161","-7.7132","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063824_20170624T063849_017172_01CA36_EE5D.iso.xml","0.05","-1","0","0","-1","S1A_IWDV_0408_0413_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063759_20170624T063824_017172_01CA36_54AA","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","403","2017-06-24T06:38:24Z","2017-06-25T02:25:29Z","GRD_HD","2017-06-24T06:37:59Z","2017-06-24T06:38:24Z","56.6626","-4.9817","57.1765","-2.5812","57.6031","-6.9085","55.6884","-3.1575","56.11","-7.319","NA","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063759_20170624T063824_017172_01CA36_54AA.zip","938.67","-1","0","0","-1","S1A_IWDV_0403_0408_017172_125"
"S1A_IW_GRDH_1SDV_20170624T063759_20170624T063824_017172_01CA36_54AA","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","17172","125","403","2017-06-24T06:38:24Z","2017-06-25T02:25:30Z","METADATA_GRD_HD","2017-06-24T06:37:59Z","2017-06-24T06:38:24Z","56.6626","-4.9817","57.1765","-2.5812","57.6031","-6.9085","55.6884","-3.1575","56.11","-7.319","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20170624T063759_20170624T063824_017172_01CA36_54AA.iso.xml","0.05","-1","0","0","-1","S1A_IWDV_0403_0408_017172_125"
